Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,1,88,3,Some Random Commen with Id 0
1,0,1,52,8,Some Random Commen with Id 1
2,0,1,115,2,Some Random Commen with Id 2
3,1,9,37,4,Some Random Commen with Id 3
4,1,9,87,4,Some Random Commen with Id 4
5,1,9,63,5,Some Random Commen with Id 5
6,2,8,149,2,Some Random Commen with Id 6
7,3,1,126,4,Some Random Commen with Id 7
8,3,1,44,2,Some Random Commen with Id 8
9,3,1,24,7,Some Random Commen with Id 9
10,4,4,53,2,Some Random Commen with Id 10
11,4,4,93,3,Some Random Commen with Id 11
12,4,4,54,3,Some Random Commen with Id 12
13,5,5,82,5,Some Random Commen with Id 13
14,5,5,168,2,Some Random Commen with Id 14
15,5,5,130,1,Some Random Commen with Id 15
16,5,5,108,6,Some Random Commen with Id 16
17,5,5,101,5,Some Random Commen with Id 17
18,5,5,32,5,Some Random Commen with Id 18
19,5,5,179,9,Some Random Commen with Id 19
20,6,7,88,4,Some Random Commen with Id 20
21,6,7,14,2,Some Random Commen with Id 21
22,6,7,184,2,Some Random Commen with Id 22
23,6,7,39,6,Some Random Commen with Id 23
24,7,7,96,2,Some Random Commen with Id 24
25,7,7,33,9,Some Random Commen with Id 25
26,7,7,165,6,Some Random Commen with Id 26
27,8,1,12,5,Some Random Commen with Id 27
28,8,1,195,2,Some Random Commen with Id 28
29,9,0,180,9,Some Random Commen with Id 29
30,9,0,163,1,Some Random Commen with Id 30
31,9,0,25,7,Some Random Commen with Id 31
32,9,0,66,1,Some Random Commen with Id 32
33,9,0,9,1,Some Random Commen with Id 33
34,9,0,8,1,Some Random Commen with Id 34
35,10,7,21,3,Some Random Commen with Id 35
36,10,7,161,5,Some Random Commen with Id 36
37,10,7,8,9,Some Random Commen with Id 37
38,11,9,29,9,Some Random Commen with Id 38
39,11,9,64,2,Some Random Commen with Id 39
40,11,9,186,6,Some Random Commen with Id 40
41,11,9,146,5,Some Random Commen with Id 41
42,11,9,13,5,Some Random Commen with Id 42
43,11,9,113,4,Some Random Commen with Id 43
44,11,9,150,0,Some Random Commen with Id 44
45,11,9,3,4,Some Random Commen with Id 45
46,11,9,76,4,Some Random Commen with Id 46
47,12,5,31,4,Some Random Commen with Id 47
48,12,5,3,7,Some Random Commen with Id 48
49,12,5,50,6,Some Random Commen with Id 49
50,12,5,64,6,Some Random Commen with Id 50
51,15,8,120,1,Some Random Commen with Id 51
52,15,8,167,1,Some Random Commen with Id 52
53,15,8,180,6,Some Random Commen with Id 53
54,15,8,2,3,Some Random Commen with Id 54
55,15,8,15,7,Some Random Commen with Id 55
56,16,3,117,9,Some Random Commen with Id 56
57,16,3,53,4,Some Random Commen with Id 57
58,16,3,6,2,Some Random Commen with Id 58
59,16,3,55,7,Some Random Commen with Id 59
60,16,3,102,8,Some Random Commen with Id 60
61,16,3,74,3,Some Random Commen with Id 61
62,16,3,130,4,Some Random Commen with Id 62
63,16,3,139,9,Some Random Commen with Id 63
64,16,3,63,9,Some Random Commen with Id 64
65,17,9,89,9,Some Random Commen with Id 65
66,18,5,100,5,Some Random Commen with Id 66
67,18,5,131,8,Some Random Commen with Id 67
68,18,5,107,8,Some Random Commen with Id 68
69,18,5,75,9,Some Random Commen with Id 69
70,18,5,107,1,Some Random Commen with Id 70
71,18,5,64,2,Some Random Commen with Id 71
72,19,7,148,1,Some Random Commen with Id 72
73,19,7,26,6,Some Random Commen with Id 73
74,19,7,138,4,Some Random Commen with Id 74
75,19,7,60,6,Some Random Commen with Id 75
76,19,7,148,3,Some Random Commen with Id 76
77,19,7,122,2,Some Random Commen with Id 77
78,19,7,131,9,Some Random Commen with Id 78
79,20,0,197,8,Some Random Commen with Id 79
80,20,0,32,2,Some Random Commen with Id 80
81,20,0,6,5,Some Random Commen with Id 81
82,20,0,112,9,Some Random Commen with Id 82
83,20,0,29,3,Some Random Commen with Id 83
84,20,0,33,0,Some Random Commen with Id 84
85,20,0,105,6,Some Random Commen with Id 85
86,20,0,93,1,Some Random Commen with Id 86
87,21,3,26,6,Some Random Commen with Id 87
88,21,3,117,1,Some Random Commen with Id 88
89,21,3,145,3,Some Random Commen with Id 89
90,22,2,160,7,Some Random Commen with Id 90
91,22,2,114,2,Some Random Commen with Id 91
92,22,2,163,4,Some Random Commen with Id 92
93,22,2,38,1,Some Random Commen with Id 93
94,23,1,22,9,Some Random Commen with Id 94
95,24,0,151,8,Some Random Commen with Id 95
96,24,0,66,6,Some Random Commen with Id 96
97,24,0,100,9,Some Random Commen with Id 97
98,24,0,178,7,Some Random Commen with Id 98
99,24,0,146,4,Some Random Commen with Id 99
100,24,0,20,0,Some Random Commen with Id 100
101,24,0,183,4,Some Random Commen with Id 101
102,24,0,102,0,Some Random Commen with Id 102
103,24,0,101,6,Some Random Commen with Id 103
104,25,1,134,6,Some Random Commen with Id 104
105,25,1,5,9,Some Random Commen with Id 105
106,26,3,65,8,Some Random Commen with Id 106
107,26,3,127,4,Some Random Commen with Id 107
108,26,3,94,3,Some Random Commen with Id 108
109,26,3,116,6,Some Random Commen with Id 109
110,26,3,3,6,Some Random Commen with Id 110
111,26,3,118,3,Some Random Commen with Id 111
112,26,3,181,0,Some Random Commen with Id 112
113,26,3,13,1,Some Random Commen with Id 113
114,26,3,35,8,Some Random Commen with Id 114
115,27,2,86,3,Some Random Commen with Id 115
116,27,2,11,4,Some Random Commen with Id 116
117,27,2,23,2,Some Random Commen with Id 117
118,27,2,26,0,Some Random Commen with Id 118
119,28,9,39,3,Some Random Commen with Id 119
120,28,9,157,0,Some Random Commen with Id 120
121,29,1,48,6,Some Random Commen with Id 121
122,29,1,121,2,Some Random Commen with Id 122
123,30,5,57,9,Some Random Commen with Id 123
124,30,5,19,9,Some Random Commen with Id 124
125,31,0,122,5,Some Random Commen with Id 125
126,32,0,157,8,Some Random Commen with Id 126
127,32,0,68,5,Some Random Commen with Id 127
128,32,0,58,8,Some Random Commen with Id 128
129,33,6,53,0,Some Random Commen with Id 129
130,33,6,120,0,Some Random Commen with Id 130
131,34,2,100,7,Some Random Commen with Id 131
132,34,2,98,0,Some Random Commen with Id 132
133,34,2,154,8,Some Random Commen with Id 133
134,34,2,198,3,Some Random Commen with Id 134
135,35,7,7,8,Some Random Commen with Id 135
136,35,7,75,1,Some Random Commen with Id 136
137,35,7,15,0,Some Random Commen with Id 137
138,35,7,111,6,Some Random Commen with Id 138
139,35,7,16,3,Some Random Commen with Id 139
140,35,7,178,8,Some Random Commen with Id 140
141,35,7,159,4,Some Random Commen with Id 141
142,36,7,108,1,Some Random Commen with Id 142
143,36,7,76,9,Some Random Commen with Id 143
144,36,7,35,5,Some Random Commen with Id 144
145,36,7,49,2,Some Random Commen with Id 145
146,36,7,10,1,Some Random Commen with Id 146
147,37,6,55,0,Some Random Commen with Id 147
148,37,6,167,2,Some Random Commen with Id 148
149,37,6,62,5,Some Random Commen with Id 149
150,38,0,132,3,Some Random Commen with Id 150
151,38,0,142,1,Some Random Commen with Id 151
152,38,0,115,4,Some Random Commen with Id 152
153,38,0,89,4,Some Random Commen with Id 153
